id,product_id,raw_text,ingredient_name,amount,unit,percentage
564,2,1000 mg. Rafine Balık Yağı EPA ( Eicosapentaenoic Acid ):18 DHA ( Docosahexaenoic Acid ) :12 bulunur.,1000 mg. Rafine Balık Yağı EPA ( Eicosapentaenoic Acid ):18 DHA ( Docosahexaenoic Acid ) :12 bulunur.,1000,mg. Rafine Balık Yağı EPA ( Eicosapentaenoic Acid ):18 DHA ( Docosahexaenoic Acid ) :12 bulunur.,
565,3,Standardize Propolis Ekstresi (80%) 320 mg,Standardize Propolis Ekstresi,320,mg,80%
566,3,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (20%) 80 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),80,mg.,20%
567,4,SEPE NATURAL Chitosan Kitosan Kapsül Formdadır. Her kapsül 330 mg'dır. Her ambalajda 90 kapsül bulunmaktadır.,SEPE NATURAL Chitosan Kitosan Kapsül Formdadır. Her kapsül,330,mg'dır. Her ambalajda 90 kapsül bulunmaktadır.,
569,5,Standardize Devedikeni Tohumu Tozu (67,Standardize Devedikeni Tohumu Tozu (,67,,
570,5,2%) 625 mg,2%) 625 mg,2,%) 625 mg,
571,5,Standardize Devedikeni Ekstresi (18,Standardize Devedikeni Ekstresi (,18,,
572,5,8%) 175 mg,8%) 175 mg,8,%) 175 mg,
573,5,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (14%) 130 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),130,mg.,14%
574,6,SEPE NATURAL Artichoke Enginar Ekstresi Kapsül formdadır. Her kapsül 380 mg'dır. Her ambalajda 60 kapsül bulunmaktadır.,SEPE NATURAL Artichoke Enginar Ekstresi Kapsül formdadır. Her kapsül,380,mg'dır. Her ambalajda 60 kapsül bulunmaktadır.,
575,7,SEPE NATURAL Epimedium Epimedyum Kapsül Formdadır. Her kapsül 430 mg'dır. Her ambalajda 90 kapsül bulunmaktadır.,SEPE NATURAL Epimedium Epimedyum Kapsül Formdadır. Her kapsül,430,mg'dır. Her ambalajda 90 kapsül bulunmaktadır.,
576,8,Full Potency SEPE NATURAL Herbs serisi,Full Potency SEPE NATURAL Herbs serisi,,,
577,8,yüksek kaliteli ve saf bitkiler sunar.,yüksek kaliteli ve saf bitkiler sunar.,,,
578,9,Standardize Korean Ginseng Kore Ginseng Ekstresi (83%) 400 mg,Standardize Korean Ginseng Kore Ginseng Ekstresi,400,mg,83%
579,9,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (17%) 80 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),80,mg.,17%
580,10,Sarı Kantaron (Hypericum perforatum),Sarı Kantaron (Hypericum perforatum),,,
581,10,Hypericaceae familyasına ait,Hypericaceae familyasına ait,,,
582,10,parlak sarı çiçekleriyle tanınan çok yıllık bir bitkidir. Avrupa,parlak sarı çiçekleriyle tanınan çok yıllık bir bitkidir. Avrupa,,,
583,10,Asya ve Kuzey Afrika’da geniş bir yayılıma sahiptir. Bitkinin toprak üstü kısımlarında hiperisin,Asya ve Kuzey Afrika’da geniş bir yayılıma sahiptir. Bitkinin toprak üstü kısımlarında hiperisin,,,
584,10,hiperforin ve flavonoid türevleri bulunur. Geleneksel olarak uzun yıllardır kullanılan bitkisel türlerden biridir.,hiperforin ve flavonoid türevleri bulunur. Geleneksel olarak uzun yıllardır kullanılan bitkisel türlerden biridir.,,,
587,11,%100 Saf,%,100,Saf,
588,11,Katkısız,Katkısız,,,
589,11,Koruyucu içermez,Koruyucu içermez,,,
590,11,Yüksek Etki,Yüksek Etki,,,
591,11,Dolgu Maddesi Yok,Dolgu Maddesi Yok,,,
592,11,Yardımcı Madde Yok,Yardımcı Madde Yok,,,
